PropertyIndex,ActualSalePrice,PredictedFairValue,DollarSpread,PercentageSpread,Action,RiskLevel,DecisionRecommendation
1322,190000.0,241990.78269981057,51990.782699810574,27.363569842005564,STRONG BUY,Low,"Undervalued by 27.4% ($51,991 upside). Acquire immediately below model fair value of $241,991."
837,100000.0,90098.69008052029,-9901.30991947971,-9.90130991947971,FAIR VALUE,Moderate,Priced at fair market value (spread: -9.9%). Standard mortgage underwriting and acquisition approved.
413,115000.0,95341.36324660221,-19658.63675339779,-17.094466742085036,PASS / NEGOTIATE,High,"Overpriced by 17.1% (Overpayment risk: $19,659). Do not purchase at ask price. Submit counter-offer capped at $93,435."
522,159000.0,173676.6515206753,14676.65152067531,9.230598440676294,FAIR VALUE,Moderate,Priced at fair market value (spread: +9.2%). Standard mortgage underwriting and acquisition approved.
1036,315500.0,325740.182182875,10240.182182874996,3.245699582527733,FAIR VALUE,Moderate,Priced at fair market value (spread: +3.2%). Standard mortgage underwriting and acquisition approved.
615,137500.0,158325.33963599752,20825.339635997516,15.145701553452739,STRONG BUY,Low,"Undervalued by 15.1% ($20,825 upside). Acquire immediately below model fair value of $158,325."
218,311500.0,229722.43909948732,-81777.56090051268,-26.252828539490423,PASS / NEGOTIATE,High,"Overpriced by 26.3% (Overpayment risk: $81,778). Do not purchase at ask price. Submit counter-offer capped at $225,128."
1032,310000.0,302408.91772491805,-7591.08227508195,-2.448736217768371,FAIR VALUE,Moderate,Priced at fair market value (spread: -2.4%). Standard mortgage underwriting and acquisition approved.
1289,281000.0,303266.8474419139,22266.84744191391,7.924144997122387,FAIR VALUE,Moderate,Priced at fair market value (spread: +7.9%). Standard mortgage underwriting and acquisition approved.
887,135500.0,147932.11303247535,12432.113032475347,9.174991167878485,FAIR VALUE,Moderate,Priced at fair market value (spread: +9.2%). Standard mortgage underwriting and acquisition approved.
577,164500.0,160675.73577853624,-3824.26422146376,-2.324780681740888,FAIR VALUE,Moderate,Priced at fair market value (spread: -2.3%). Standard mortgage underwriting and acquisition approved.
1251,171750.0,193282.8127747774,21532.812774777412,12.537300014426442,STRONG BUY,Low,"Undervalued by 12.5% ($21,533 upside). Acquire immediately below model fair value of $193,283."
1191,174000.0,173979.88794885058,-20.11205114942277,-0.011558650085875154,FAIR VALUE,Moderate,Priced at fair market value (spread: -0.0%). Standard mortgage underwriting and acquisition approved.
568,316600.0,283970.1990017928,-32629.80099820718,-10.306317434683255,PASS / NEGOTIATE,High,"Overpriced by 10.3% (Overpayment risk: $32,630). Do not purchase at ask price. Submit counter-offer capped at $278,291."
1108,181000.0,169823.8192314088,-11176.180768591206,-6.174685507508953,FAIR VALUE,Moderate,Priced at fair market value (spread: -6.2%). Standard mortgage underwriting and acquisition approved.
853,158000.0,187473.7364074682,29473.736407468212,18.654263549030514,STRONG BUY,Low,"Undervalued by 18.7% ($29,474 upside). Acquire immediately below model fair value of $187,474."
168,183500.0,188166.05878115495,4666.0587811549485,2.542811324880081,FAIR VALUE,Moderate,Priced at fair market value (spread: +2.5%). Standard mortgage underwriting and acquisition approved.
1102,135000.0,131994.95041201427,-3005.0495879857335,-2.22596265776721,FAIR VALUE,Moderate,Priced at fair market value (spread: -2.2%). Standard mortgage underwriting and acquisition approved.
1119,133700.0,120218.04856592536,-13481.95143407464,-10.083733308956349,PASS / NEGOTIATE,High,"Overpriced by 10.1% (Overpayment risk: $13,482). Do not purchase at ask price. Submit counter-offer capped at $117,814."
67,226000.0,217214.75951503706,-8785.240484962938,-3.8872745508685567,FAIR VALUE,Moderate,Priced at fair market value (spread: -3.9%). Standard mortgage underwriting and acquisition approved.
1042,196000.0,201933.614948329,5933.614948328992,3.0273545654739755,FAIR VALUE,Moderate,Priced at fair market value (spread: +3.0%). Standard mortgage underwriting and acquisition approved.
453,210000.0,196493.11647991603,-13506.883520083968,-6.431849295278081,FAIR VALUE,Moderate,Priced at fair market value (spread: -6.4%). Standard mortgage underwriting and acquisition approved.
670,173500.0,176143.17779553845,2643.177795538446,1.5234454152959342,FAIR VALUE,Moderate,Priced at fair market value (spread: +1.5%). Standard mortgage underwriting and acquisition approved.
1173,200500.0,270555.366171614,70055.36617161398,34.94033225516907,STRONG BUY,Low,"Undervalued by 34.9% ($70,055 upside). Acquire immediately below model fair value of $270,555."
192,192000.0,197284.22059787504,5284.220597875043,2.752198228059918,FAIR VALUE,Moderate,Priced at fair market value (spread: +2.8%). Standard mortgage underwriting and acquisition approved.
123,153900.0,143686.18116286444,-10213.818837135565,-6.636659413343447,FAIR VALUE,Moderate,Priced at fair market value (spread: -6.6%). Standard mortgage underwriting and acquisition approved.
415,181134.0,193908.8415504606,12774.84155046061,7.052702171022894,FAIR VALUE,Moderate,Priced at fair market value (spread: +7.1%). Standard mortgage underwriting and acquisition approved.
277,141000.0,100925.10396350274,-40074.89603649726,-28.42191208262217,PASS / NEGOTIATE,High,"Overpriced by 28.4% (Overpayment risk: $40,075). Do not purchase at ask price. Submit counter-offer capped at $98,907."
433,181000.0,175472.5291139132,-5527.470886086812,-3.0538513182800067,FAIR VALUE,Moderate,Priced at fair market value (spread: -3.1%). Standard mortgage underwriting and acquisition approved.
1170,171000.0,164326.64834891746,-6673.351651082543,-3.90254482519447,FAIR VALUE,Moderate,Priced at fair market value (spread: -3.9%). Standard mortgage underwriting and acquisition approved.
184,127000.0,122261.96032598778,-4738.039674012223,-3.730739900797026,FAIR VALUE,Moderate,Priced at fair market value (spread: -3.7%). Standard mortgage underwriting and acquisition approved.
555,113000.0,107702.35083961973,-5297.6491603802715,-4.688185097681656,FAIR VALUE,Moderate,Priced at fair market value (spread: -4.7%). Standard mortgage underwriting and acquisition approved.
1188,195000.0,187468.39717671665,-7531.602823283349,-3.862360422196589,FAIR VALUE,Moderate,Priced at fair market value (spread: -3.9%). Standard mortgage underwriting and acquisition approved.
76,135750.0,111778.46745539269,-23971.53254460731,-17.65858750983964,PASS / NEGOTIATE,High,"Overpriced by 17.7% (Overpayment risk: $23,972). Do not purchase at ask price. Submit counter-offer capped at $109,543."
906,255000.0,241415.46962021245,-13584.530379787553,-5.327266815602962,FAIR VALUE,Moderate,Priced at fair market value (spread: -5.3%). Standard mortgage underwriting and acquisition approved.
1024,287000.0,297092.56448479206,10092.564484792063,3.5165729912167465,FAIR VALUE,Moderate,Priced at fair market value (spread: +3.5%). Standard mortgage underwriting and acquisition approved.
1285,132500.0,131621.549729268,-878.4502707319916,-0.662981336401503,FAIR VALUE,Moderate,Priced at fair market value (spread: -0.7%). Standard mortgage underwriting and acquisition approved.
374,219500.0,204820.97629650714,-14679.023703492858,-6.687482325053693,FAIR VALUE,Moderate,Priced at fair market value (spread: -6.7%). Standard mortgage underwriting and acquisition approved.
1448,112000.0,106066.22497718141,-5933.7750228185905,-5.298013413230884,FAIR VALUE,Moderate,Priced at fair market value (spread: -5.3%). Standard mortgage underwriting and acquisition approved.
259,97000.0,114375.87979023333,17375.87979023333,17.91327813426117,STRONG BUY,Low,"Undervalued by 17.9% ($17,376 upside). Acquire immediately below model fair value of $114,376."
51,114500.0,120024.899871667,5524.899871667003,4.825240062591269,FAIR VALUE,Moderate,Priced at fair market value (spread: +4.8%). Standard mortgage underwriting and acquisition approved.
244,205000.0,231503.62073878257,26503.62073878257,12.92859548233296,STRONG BUY,Low,"Undervalued by 12.9% ($26,504 upside). Acquire immediately below model fair value of $231,504."
1101,119500.0,109037.70098118493,-10462.299018815072,-8.755061940431023,FAIR VALUE,Moderate,Priced at fair market value (spread: -8.8%). Standard mortgage underwriting and acquisition approved.
582,118500.0,83983.46427338324,-34516.535726616756,-29.127878250309497,PASS / NEGOTIATE,High,"Overpriced by 29.1% (Overpayment risk: $34,517). Do not purchase at ask price. Submit counter-offer capped at $82,304."
679,128500.0,129989.5080221576,1489.5080221576063,1.1591502117958026,FAIR VALUE,Moderate,Priced at fair market value (spread: +1.2%). Standard mortgage underwriting and acquisition approved.
758,179400.0,168048.8639384667,-11351.136061533296,-6.32727762627274,FAIR VALUE,Moderate,Priced at fair market value (spread: -6.3%). Standard mortgage underwriting and acquisition approved.
1014,119200.0,113526.79446428744,-5673.205535712565,-4.759400617208527,FAIR VALUE,Moderate,Priced at fair market value (spread: -4.8%). Standard mortgage underwriting and acquisition approved.
49,127000.0,134587.5248822303,7587.5248822302965,5.974429041126218,FAIR VALUE,Moderate,Priced at fair market value (spread: +6.0%). Standard mortgage underwriting and acquisition approved.
592,138000.0,137914.2882147349,-85.71178526509902,-0.06210998932253553,FAIR VALUE,Moderate,Priced at fair market value (spread: -0.1%). Standard mortgage underwriting and acquisition approved.
966,160000.0,158504.02179478138,-1495.9782052186201,-0.9349863782616377,FAIR VALUE,Moderate,Priced at fair market value (spread: -0.9%). Standard mortgage underwriting and acquisition approved.
1248,129500.0,159221.13254458315,29721.132544583146,22.950681501608607,STRONG BUY,Low,"Undervalued by 23.0% ($29,721 upside). Acquire immediately below model fair value of $159,221."
1279,68400.0,76141.07485300819,7741.074853008191,11.317360896210806,STRONG BUY,Low,"Undervalued by 11.3% ($7,741 upside). Acquire immediately below model fair value of $76,141."
490,115000.0,106970.60579629178,-8029.394203708216,-6.982081916268014,FAIR VALUE,Moderate,Priced at fair market value (spread: -7.0%). Standard mortgage underwriting and acquisition approved.
